baseline,method,mean_diff,median_diff,n_pairs,w_statistic,p_value_raw,dataset,p_value_corrected,reject,significance
QMI-CFS (Full),QMI-CFS (No Bootstrap),-0.006619909502262406,0.0,50,321.0,0.47156309381345707,CC,0.0011503511522675818,True,**
QMI-CFS (Full),QMI-CFS (Conservative),-0.0034495798319327743,0.0,50,6.5,0.3990751965482372,CC,0.0011503511522675818,True,**
QMI-CFS (Full),QMI-CFS (Precision),0.041088019823313934,0.0,50,63.0,0.00028758778806689544,CC,0.0011503511522675818,True,**
QMI-CFS (Full),QMI-CFS (No Pairwise),-0.03388181426416723,-0.02086834733893561,50,84.5,0.0007829987838000426,CC,0.0011503511522675818,True,**
QMI-CFS (Full),QMI-CFS (No Bootstrap),0.07225900412152167,0.07459207459207462,50,0.0,7.190926976203591e-10,HDS,2.8763707904814366e-09,True,***
QMI-CFS (Full),QMI-CFS (Conservative),-9.755555413641259e-05,0.0,50,373.0,0.6188508187587752,HDS,2.8763707904814366e-09,True,***
QMI-CFS (Full),QMI-CFS (Precision),0.009599515384122816,0.0052631578947368585,50,245.5,0.02698962167339907,HDS,2.8763707904814366e-09,True,***
QMI-CFS (Full),QMI-CFS (No Pairwise),-0.009810272887193095,-0.007342073131546806,50,202.5,0.0006403793245314486,HDS,2.8763707904814366e-09,True,***
QMI-CFS (Full),QMI-CFS (No Bootstrap),-0.07007492507492506,-0.08333333333333334,50,256.5,0.0003959136174614386,IC,0.0015836544698457544,True,**
QMI-CFS (Full),QMI-CFS (Conservative),-0.0018241758241758193,0.0,50,158.0,0.6566160114078463,IC,0.0015836544698457544,True,**
QMI-CFS (Full),QMI-CFS (Precision),-0.019216783216783207,0.0,50,155.0,0.1765260155886903,IC,0.0015836544698457544,True,**
QMI-CFS (Full),QMI-CFS (No Pairwise),-0.013804195804195793,0.0,50,264.5,0.28173790094861273,IC,0.0015836544698457544,True,**
QMI-CFS (Full),QMI-CFS (No Bootstrap),0.10820979020979012,0.09523809523809512,50,10.0,1.132843620713914e-09,LLD,4.531374482855656e-09,True,***
QMI-CFS (Full),QMI-CFS (Conservative),-0.012652236652236654,0.0,50,40.0,0.08228082788067097,LLD,4.531374482855656e-09,True,***
QMI-CFS (Full),QMI-CFS (Precision),0.025008103008103008,0.022727272727272707,50,210.5,0.019874697329472665,LLD,4.531374482855656e-09,True,***
QMI-CFS (Full),QMI-CFS (No Pairwise),-0.013657009657009668,0.0,50,79.0,0.039727835661482185,LLD,4.531374482855656e-09,True,***
QMI-CFS (Full),QMI-CFS (No Bootstrap),0.002632256632256653,0.04761904761904756,50,574.5,0.5424929245306338,NLC,0.5553701185489526,False,ns
QMI-CFS (Full),QMI-CFS (Conservative),-0.0038958818958819,0.0,50,42.0,0.5036382234657761,NLC,0.5553701185489526,False,ns
QMI-CFS (Full),QMI-CFS (Precision),0.0009104229104229111,0.0,50,168.5,0.8586484844500174,NLC,0.5553701185489526,False,ns
QMI-CFS (Full),QMI-CFS (No Pairwise),-0.009268065268065269,0.0,50,81.0,0.13884252963723814,NLC,0.5553701185489526,False,ns
QMI-CFS (Full),QMI-CFS (No Bootstrap),-0.06702020202020204,-0.101010101010101,50,217.0,0.00023651380362824443,WC,0.0009460552145129777,True,***
QMI-CFS (Full),QMI-CFS (Conservative),-0.0031082251082251034,0.0,50,88.0,0.5249302855183003,WC,0.0009460552145129777,True,***
QMI-CFS (Full),QMI-CFS (Precision),0.022193362193362192,0.0,50,100.5,0.25355812252287435,WC,0.0009460552145129777,True,***
QMI-CFS (Full),QMI-CFS (No Pairwise),0.015015873015873014,0.0,50,135.5,0.6778725809976369,WC,0.0009460552145129777,True,***
