baseline,method,mean_diff,std_diff,n_pairs,t_statistic,p_value_raw,dataset,p_value_corrected,reject,significance
QMI-CFS,QMI-CFS-Classic,-0.020570028011204496,0.060218806244325816,50,-2.415392666022912,0.019493467908644906,CC,6.696572732117222e-26,True,***
QMI-CFS,MI,0.03961395467277827,0.18175541844400336,50,1.5411532827214158,0.1297133435559719,CC,6.696572732117222e-26,True,***
QMI-CFS,CMI,-0.20038604532722176,0.14102957922613876,50,-10.047135663563791,1.7217947300445369e-13,CC,6.696572732117222e-26,True,***
QMI-CFS,LASSO,0.14399183765935686,0.10527887213725548,50,9.671228687908132,6.034571663813105e-13,CC,6.696572732117222e-26,True,***
QMI-CFS,Boruta,-0.24714728408846057,0.08096303712105946,50,-21.58509941635225,1.1160954553528704e-26,CC,6.696572732117222e-26,True,***
QMI-CFS,RF,0.13597759103641457,0.10150713877745916,50,9.472306861299417,1.1796527907060847e-12,CC,6.696572732117222e-26,True,***
QMI-CFS,QMI-CFS-Classic,-0.0075380931440941915,0.017318777399865423,50,-3.0777211672264144,0.003411180493783974,HDS,7.714305851652763e-61,True,***
QMI-CFS,MI,0.019374856988039754,0.07618117934346672,50,1.7983566123326753,0.07828212471158741,HDS,7.714305851652763e-61,True,***
QMI-CFS,CMI,-0.04329180967862692,0.057663108157022316,50,-5.308755142063311,2.6618207621952693e-06,HDS,7.714305851652763e-61,True,***
QMI-CFS,LASSO,0.027705355771351733,0.07138752090551768,50,2.7442674423499223,0.008451501290608591,HDS,7.714305851652763e-61,True,***
QMI-CFS,Boruta,-0.6829079712947884,0.08223927508858858,50,-58.717547900163595,4.442119129761644e-47,HDS,7.714305851652763e-61,True,***
QMI-CFS,RF,-0.44062514301196015,0.026658850307642125,50,-116.87264191424407,1.2857176419421272e-61,HDS,7.714305851652763e-61,True,***
QMI-CFS,QMI-CFS-Classic,-0.00718763589351825,0.0980986288845152,50,-0.5180934880333319,0.6067246208662236,IC,1.4062521613396193e-07,True,***
QMI-CFS,MI,-0.013142181348063673,0.18052287324235888,50,-0.514778287310056,0.6090223453593671,IC,1.4062521613396193e-07,True,***
QMI-CFS,CMI,-0.09314218134806368,0.19068369419665304,50,-3.4539643425305013,0.0011488521562781236,IC,1.4062521613396193e-07,True,***
QMI-CFS,LASSO,0.05729461376929408,0.22564032621549593,50,1.7954862325026062,0.0787442807207168,IC,1.4062521613396193e-07,True,***
QMI-CFS,Boruta,0.05731236410648175,0.1734856095551073,50,2.3359840282690856,0.02362783534818346,IC,1.4062521613396193e-07,True,***
QMI-CFS,RF,-0.15268763589351825,0.16244684596968956,50,-6.646264019419274,2.343753602232699e-08,IC,1.4062521613396193e-07,True,***
QMI-CFS,QMI-CFS-Classic,-0.0074751914751914825,0.03897514883588001,50,-1.356186888479504,0.18125646452323754,LLD,1.0262099084683056e-34,True,***
QMI-CFS,MI,0.05103163503163507,0.182620046389124,50,1.9759503898612072,0.05380510968978714,LLD,1.0262099084683056e-34,True,***
QMI-CFS,CMI,0.0021427461427461713,0.16025612795103755,50,0.09454554701084839,0.9250613745871895,LLD,1.0262099084683056e-34,True,***
QMI-CFS,LASSO,0.293150832117584,0.06170068080791707,50,33.59589206902636,1.710349847447176e-35,LLD,1.0262099084683056e-34,True,***
QMI-CFS,Boruta,-0.30001598401598406,0.08581426494786748,50,-24.721220520962934,2.5086199833789745e-29,LLD,1.0262099084683056e-34,True,***
QMI-CFS,RF,-0.015635031635031625,0.058519328650964195,50,-1.889228251256587,0.06478628731599975,LLD,1.0262099084683056e-34,True,***
QMI-CFS,QMI-CFS-Classic,0.01245243645243645,0.054405939804175366,50,1.6184266441320836,0.11199048240369973,NLC,3.0222214059534986e-13,True,***
QMI-CFS,MI,0.011263847263847269,0.19108735903318372,50,0.41681159982606736,0.678636597859573,NLC,3.0222214059534986e-13,True,***
QMI-CFS,CMI,-0.11762504162504157,0.16611102756836818,50,-5.007100719799243,7.549935041943457e-06,NLC,3.0222214059534986e-13,True,***
QMI-CFS,LASSO,0.07336299344752702,0.10347145897619647,50,5.013505237886374,7.3857980280497375e-06,NLC,3.0222214059534986e-13,True,***
QMI-CFS,Boruta,-0.18994250194250195,0.1288887275125852,50,-10.4205878784836,5.0370356765891645e-14,NLC,3.0222214059534986e-13,True,***
QMI-CFS,RF,-0.20651393051393047,0.14646757341058192,50,-9.969947427649375,2.2244839992927996e-13,NLC,3.0222214059534986e-13,True,***
QMI-CFS,QMI-CFS-Classic,0.01896681096681097,0.08842948114482568,50,1.5166390753950694,0.13578330447815143,WC,2.7290123376202307e-19,True,***
QMI-CFS,MI,0.15126984126984128,0.2496836022052225,50,4.283978988055473,8.544535822517833e-05,WC,2.7290123376202307e-19,True,***
QMI-CFS,CMI,0.2179365079365079,0.17552180015382174,50,8.779785900951811,1.2583270315694763e-11,WC,2.7290123376202307e-19,True,***
QMI-CFS,LASSO,-0.07066821087409324,0.13167789602381938,50,-3.794864030509199,0.00040697387790853486,WC,2.7290123376202307e-19,True,***
QMI-CFS,Boruta,0.09374603174603172,0.2662631758853916,50,2.4895840191390604,0.01623183475389486,WC,2.7290123376202307e-19,True,***
QMI-CFS,RF,0.2979365079365079,0.13947173349137093,50,15.105062499132027,4.548353896033718e-20,WC,2.7290123376202307e-19,True,***
