baseline,method,mean_diff,median_diff,n_pairs,w_statistic,p_value_raw,n_samples,p_value_corrected,reject,significance
QMI-CFS,MI,-0.013547785547785591,0.0,50,471.5,0.7838049177200271,100,0.0001292188722330428,True,***
QMI-CFS,CMI,-0.1095477855477856,-0.11923076923076922,50,269.5,0.0018249072630680846,100,0.0001292188722330428,True,***
QMI-CFS,LASSO,-0.07812879689969474,-0.11315789473684201,50,295.0,0.0026479689467985715,100,0.0001292188722330428,True,***
QMI-CFS,Boruta,-0.06046842046842047,-0.04076479076479081,50,381.0,0.021273339439971273,100,0.0001292188722330428,True,***
QMI-CFS,RF,-0.11526207126207134,-0.17142857142857143,50,198.0,2.153647870550713e-05,100,0.0001292188722330428,True,***
QMI-CFS,All-Features,-0.04954778554778556,-0.09999999999999992,50,365.0,0.03491426607950352,100,0.0001292188722330428,True,***
QMI-CFS,MI,0.08588478188478181,0.09999999999999992,50,303.0,0.003453087299734154,250,1.6673151761767267e-08,True,***
QMI-CFS,CMI,0.041884781884781806,0.0666666666666666,50,433.0,0.11180068836300898,250,1.6673151761767267e-08,True,***
QMI-CFS,LASSO,0.11834384621226722,0.12786774628879893,50,103.0,6.432310317896932e-07,250,1.6673151761767267e-08,True,***
QMI-CFS,Boruta,-0.17841536241536246,-0.17662337662337665,50,22.0,2.778858626961211e-09,250,1.6673151761767267e-08,True,***
QMI-CFS,RF,0.06245621045621034,0.09523809523809512,50,292.0,0.0008300503296951696,250,1.6673151761767267e-08,True,***
QMI-CFS,All-Features,0.13388478188478184,0.16666666666666663,50,55.0,1.0440145303455125e-07,250,1.6673151761767267e-08,True,***
QMI-CFS,MI,0.19052347652347645,0.1692307692307693,50,67.0,3.53587405388771e-08,500,3.6033131746895767e-09,True,***
QMI-CFS,CMI,0.09052347652347645,0.08787878787878778,50,277.0,0.0004922052658387033,500,3.6033131746895767e-09,True,***
QMI-CFS,LASSO,0.2614034214839169,0.2692307692307693,50,2.0,7.549747829282083e-10,500,3.6033131746895767e-09,True,***
QMI-CFS,Boruta,-0.1723856143856144,-0.1641414141414142,50,0.0,1.5136943098884383e-09,500,3.6033131746895767e-09,True,***
QMI-CFS,RF,0.203094905094905,0.19780219780219777,50,15.0,1.3306220373076629e-09,500,3.6033131746895767e-09,True,***
QMI-CFS,All-Features,0.27452347652347653,0.2692307692307693,50,2.0,6.005521957815962e-10,500,3.6033131746895767e-09,True,***
QMI-CFS,MI,0.07117948717948713,0.033333333333333104,50,288.0,0.0006739058641436602,1000,4.842452552577588e-10,True,***
QMI-CFS,CMI,-0.004820512820512895,-0.030769230769230882,50,613.0,0.8109730023628368,1000,4.842452552577588e-10,True,***
QMI-CFS,LASSO,0.27394247307560005,0.2692307692307693,50,0.0,4.38828599697566e-10,1000,4.842452552577588e-10,True,***
QMI-CFS,Boruta,-0.1528205128205128,-0.1398601398601398,50,0.0,8.03323707989324e-10,1000,4.842452552577588e-10,True,***
QMI-CFS,RF,0.2157509157509157,0.19780219780219777,50,0.0,9.684905105155175e-11,1000,5.810943063093105e-10,True,***
QMI-CFS,All-Features,0.2871794871794872,0.2692307692307693,50,0.0,9.684905105155175e-11,1000,4.842452552577588e-10,True,***
