baseline,method,mean_diff,median_diff,n_pairs,w_statistic,p_value_raw,p_value_corrected,reject,significance
QMI-CFS,MI,-0.17685461300263192,-0.14573586462598165,30,27.0,2.348795533180237e-06,2.113915979862213e-05,True,***
QMI-CFS,CMI,-0.0056926105252153615,-0.011829351273378474,30,145.0,0.07324407435953617,2.113915979862213e-05,True,***
QMI-CFS,LASSO,-0.002540167527709395,-3.19498581211608e-05,30,186.0,0.3492113798856735,2.113915979862213e-05,True,***
QMI-CFS,Boruta,-0.15803403486605674,-0.15384753789967265,30,28.0,2.7623027563095093e-06,2.113915979862213e-05,True,***
QMI-CFS,RF,-0.0072300985353640716,-0.009112753955830666,30,188.0,0.370740607380867,2.113915979862213e-05,True,***
QMI-CFS,All-Features,-0.006377291860764374,-0.007599945770643046,30,106.0,0.008142979815602303,2.113915979862213e-05,True,***
QMI-CFS,HSIC-Med,-0.09003139446536408,-0.054777409621625806,30,71.0,0.0005054883658885956,2.113915979862213e-05,True,***
QMI-CFS,HSIC-CV,-0.0638558649311652,-0.02514758130509831,30,73.0,0.0006084088236093521,2.113915979862213e-05,True,***
QMI-CFS,HSIC-Lasso,-0.003594545240036373,-0.009112753955830666,30,177.0,0.2621222734451294,2.113915979862213e-05,True,***
